Scenario,Time,Load
1,12:00,377
1,12:01,378
1,12:02,362
1,12:03,360
1,12:04,354
1,12:05,380
1,12:06,404
1,12:07,411
1,12:08,381
1,12:09,357
1,12:10,345
1,12:11,329
1,12:12,343
1,12:13,313
1,12:14,308
1,12:15,274
1,12:16,291
1,12:17,277
1,12:18,258
1,12:19,262
1,12:20,246
1,12:21,252
1,12:22,226
1,12:23,258
1,12:24,236
1,12:25,239
1,12:26,229
1,12:27,221
1,12:28,256
1,12:29,249
1,12:30,257
1,12:31,252
1,12:32,255
1,12:33,228
1,12:34,234
1,12:35,228
1,12:36,236
1,12:37,233
1,12:38,266
1,12:39,256
1,12:40,236
1,12:41,252
1,12:42,260
1,12:43,288
1,12:44,299
1,12:45,312
1,12:46,288
1,12:47,320
1,12:48,297
1,12:49,266
1,12:50,234
1,12:51,255
1,12:52,231
1,12:53,225
1,12:54,231
1,12:55,244
1,12:56,264
1,12:57,269
1,12:58,283
1,12:59,297
2,12:00,575
2,12:01,593
2,12:02,568
2,12:03,576
2,12:04,586
2,12:05,572
2,12:06,595
2,12:07,564
2,12:08,594
2,12:09,596
2,12:10,585
2,12:11,551
2,12:12,572
2,12:13,569
2,12:14,551
2,12:15,530
2,12:16,523
2,12:17,541
2,12:18,517
2,12:19,552
2,12:20,572
2,12:21,542
2,12:22,572
2,12:23,598
2,12:24,564
2,12:25,583
2,12:26,554
2,12:27,523
2,12:28,514
2,12:29,487
2,12:30,475
2,12:31,487
2,12:32,505
2,12:33,533
2,12:34,515
2,12:35,509
2,12:36,474
2,12:37,501
2,12:38,508
2,12:39,504
2,12:40,470
2,12:41,477
2,12:42,475
2,12:43,500
2,12:44,508
2,12:45,483
2,12:46,478
2,12:47,480
2,12:48,488
2,12:49,482
2,12:50,517
2,12:51,551
2,12:52,537
2,12:53,568
2,12:54,577
2,12:55,559
2,12:56,531
2,12:57,516
2,12:58,532
2,12:59,559
3,12:00,489
3,12:01,494
3,12:02,483
3,12:03,515
3,12:04,495
3,12:05,474
3,12:06,457
3,12:07,453
3,12:08,427
3,12:09,394
3,12:10,427
3,12:11,450
3,12:12,428
3,12:13,422
3,12:14,456
3,12:15,451
3,12:16,469
3,12:17,458
3,12:18,478
3,12:19,494
3,12:20,498
3,12:21,465
3,12:22,467
3,12:23,455
3,12:24,466
3,12:25,478
3,12:26,500
3,12:27,519
3,12:28,535
3,12:29,521
3,12:30,492
3,12:31,507
3,12:32,527
3,12:33,511
3,12:34,514
3,12:35,535
3,12:36,565
3,12:37,544
3,12:38,513
3,12:39,485
3,12:40,517
3,12:41,512
3,12:42,499
3,12:43,525
3,12:44,494
3,12:45,478
3,12:46,486
3,12:47,463
3,12:48,429
3,12:49,414
3,12:50,395
3,12:51,387
3,12:52,375
3,12:53,397
3,12:54,394
3,12:55,373
3,12:56,368
3,12:57,398
3,12:58,371
3,12:59,405
4,12:00,431
4,12:01,427
4,12:02,392
4,12:03,390
4,12:04,367
4,12:05,337
4,12:06,321
4,12:07,338
4,12:08,319
4,12:09,312
4,12:10,347
4,12:11,378
4,12:12,369
4,12:13,399
4,12:14,385
4,12:15,419
4,12:16,420
4,12:17,396
4,12:18,369
4,12:19,396
4,12:20,429
4,12:21,420
4,12:22,418
4,12:23,410
4,12:24,391
4,12:25,409
4,12:26,434
4,12:27,407
4,12:28,374
4,12:29,354
4,12:30,341
4,12:31,345
4,12:32,335
4,12:33,360
4,12:34,355
4,12:35,369
4,12:36,336
4,12:37,327
4,12:38,312
4,12:39,310
4,12:40,298
4,12:41,275
4,12:42,308
4,12:43,331
4,12:44,365
4,12:45,393
4,12:46,416
4,12:47,426
4,12:48,435
4,12:49,428
4,12:50,461
4,12:51,433
4,12:52,421
4,12:53,440
4,12:54,454
4,12:55,419
4,12:56,446
4,12:57,451
4,12:58,420
4,12:59,453
5,12:00,256
5,12:01,285
5,12:02,306
5,12:03,299
5,12:04,313
5,12:05,304
5,12:06,335
5,12:07,326
5,12:08,304
5,12:09,304
5,12:10,313
5,12:11,283
5,12:12,258
5,12:13,249
5,12:14,261
5,12:15,266
5,12:16,300
5,12:17,281
5,12:18,283
5,12:19,261
5,12:20,296
5,12:21,319
5,12:22,297
5,12:23,286
5,12:24,275
5,12:25,243
5,12:26,274
5,12:27,297
5,12:28,274
5,12:29,261
5,12:30,288
5,12:31,280
5,12:32,265
5,12:33,254
5,12:34,257
5,12:35,256
5,12:36,227
5,12:37,256
5,12:38,236
5,12:39,223
5,12:40,233
5,12:41,247
5,12:42,236
5,12:43,269
5,12:44,300
5,12:45,275
5,12:46,286
5,12:47,320
5,12:48,351
5,12:49,360
5,12:50,326
5,12:51,300
5,12:52,333
5,12:53,359
5,12:54,382
5,12:55,403
5,12:56,410
5,12:57,375
5,12:58,374
5,12:59,344
6,12:00,280
6,12:01,310
6,12:02,339
6,12:03,345
6,12:04,351
6,12:05,318
6,12:06,342
6,12:07,328
6,12:08,303
6,12:09,279
6,12:10,313
6,12:11,278
6,12:12,254
6,12:13,261
6,12:14,267
6,12:15,295
6,12:16,324
6,12:17,350
6,12:18,333
6,12:19,342
6,12:20,374
6,12:21,362
6,12:22,336
6,12:23,370
6,12:24,353
6,12:25,372
6,12:26,358
6,12:27,326
6,12:28,293
6,12:29,274
6,12:30,304
6,12:31,271
6,12:32,271
6,12:33,248
6,12:34,267
6,12:35,264
6,12:36,291
6,12:37,309
6,12:38,338
6,12:39,322
6,12:40,348
6,12:41,370
6,12:42,356
6,12:43,350
6,12:44,345
6,12:45,355
6,12:46,360
6,12:47,325
6,12:48,338
6,12:49,373
6,12:50,380
6,12:51,388
6,12:52,390
6,12:53,389
6,12:54,417
6,12:55,423
6,12:56,393
6,12:57,410
6,12:58,382
6,12:59,348
7,12:00,490
7,12:01,485
7,12:02,453
7,12:03,442
7,12:04,425
7,12:05,459
7,12:06,448
7,12:07,480
7,12:08,467
7,12:09,441
7,12:10,444
7,12:11,450
7,12:12,449
7,12:13,462
7,12:14,456
7,12:15,463
7,12:16,457
7,12:17,482
7,12:18,472
7,12:19,470
7,12:20,456
7,12:21,466
7,12:22,465
7,12:23,462
7,12:24,458
7,12:25,461
7,12:26,463
7,12:27,473
7,12:28,450
7,12:29,466
7,12:30,497
7,12:31,524
7,12:32,521
7,12:33,533
7,12:34,564
7,12:35,562
7,12:36,573
7,12:37,599
7,12:38,586
7,12:39,586
7,12:40,577
7,12:41,566
7,12:42,564
7,12:43,555
7,12:44,571
7,12:45,542
7,12:46,571
7,12:47,592
7,12:48,579
7,12:49,582
7,12:50,557
7,12:51,547
7,12:52,520
7,12:53,543
7,12:54,557
7,12:55,540
7,12:56,528
7,12:57,528
7,12:58,506
7,12:59,505
8,12:00,361
8,12:01,327
8,12:02,336
8,12:03,348
8,12:04,373
8,12:05,402
8,12:06,386
8,12:07,396
8,12:08,401
8,12:09,405
8,12:10,397
8,12:11,394
8,12:12,393
8,12:13,401
8,12:14,396
8,12:15,419
8,12:16,404
8,12:17,405
8,12:18,414
8,12:19,385
8,12:20,404
8,12:21,375
8,12:22,351
8,12:23,384
8,12:24,381
8,12:25,391
8,12:26,393
8,12:27,426
8,12:28,441
8,12:29,436
8,12:30,453
8,12:31,436
8,12:32,449
8,12:33,445
8,12:34,425
8,12:35,399
8,12:36,371
8,12:37,395
8,12:38,368
8,12:39,353
8,12:40,338
8,12:41,373
8,12:42,344
8,12:43,320
8,12:44,341
8,12:45,329
8,12:46,307
8,12:47,333
8,12:48,313
8,12:49,322
8,12:50,342
8,12:51,325
8,12:52,314
8,12:53,298
8,12:54,312
8,12:55,314
8,12:56,321
8,12:57,337
8,12:58,327
8,12:59,343
9,12:00,269
9,12:01,286
9,12:02,309
9,12:03,308
9,12:04,326
9,12:05,293
9,12:06,289
9,12:07,256
9,12:08,256
9,12:09,277
9,12:10,295
9,12:11,278
9,12:12,290
9,12:13,319
9,12:14,293
9,12:15,314
9,12:16,341
9,12:17,315
9,12:18,346
9,12:19,312
9,12:20,341
9,12:21,358
9,12:22,373
9,12:23,359
9,12:24,394
9,12:25,396
9,12:26,384
9,12:27,397
9,12:28,408
9,12:29,434
9,12:30,427
9,12:31,392
9,12:32,418
9,12:33,435
9,12:34,435
9,12:35,445
9,12:36,458
9,12:37,449
9,12:38,478
9,12:39,494
9,12:40,478
9,12:41,444
9,12:42,443
9,12:43,441
9,12:44,438
9,12:45,434
9,12:46,403
9,12:47,406
9,12:48,374
9,12:49,365
9,12:50,398
9,12:51,426
9,12:52,437
9,12:53,402
9,12:54,414
9,12:55,431
9,12:56,396
9,12:57,422
9,12:58,430
9,12:59,423
10,12:00,276
10,12:01,307
10,12:02,321
10,12:03,356
10,12:04,362
10,12:05,370
10,12:06,361
10,12:07,329
10,12:08,361
10,12:09,357
10,12:10,373
10,12:11,406
10,12:12,429
10,12:13,442
10,12:14,453
10,12:15,476
10,12:16,505
10,12:17,527
