# Renewables.ninja Wind power (Point API) - 55.689, 12.707 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW"}, "params": {"local_time": "true", "header": "true", "lat": "55.68895681482199", "lon": "12.70728093223015", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "500", "height": "80", "turbine": "Vestas V90 2000", "raw": "false"}}
time,local_time,electricity
2019-01-01 00:00,2019-01-01 01:00,480.688
2019-01-01 01:00,2019-01-01 02:00,487.201
2019-01-01 02:00,2019-01-01 03:00,492.099
2019-01-01 03:00,2019-01-01 04:00,495.085
2019-01-01 04:00,2019-01-01 05:00,495.559
2019-01-01 05:00,2019-01-01 06:00,495.673
2019-01-01 06:00,2019-01-01 07:00,495.352
2019-01-01 07:00,2019-01-01 08:00,494.078
2019-01-01 08:00,2019-01-01 09:00,490.432
2019-01-01 09:00,2019-01-01 10:00,484.179
2019-01-01 10:00,2019-01-01 11:00,473.123
2019-01-01 11:00,2019-01-01 12:00,457.891
2019-01-01 12:00,2019-01-01 13:00,458.484
2019-01-01 13:00,2019-01-01 14:00,470.546
2019-01-01 14:00,2019-01-01 15:00,484.971
2019-01-01 15:00,2019-01-01 16:00,492.996
2019-01-01 16:00,2019-01-01 17:00,495.581
2019-01-01 17:00,2019-01-01 18:00,495.218
2019-01-01 18:00,2019-01-01 19:00,494.406
2019-01-01 19:00,2019-01-01 20:00,495.386
2019-01-01 20:00,2019-01-01 21:00,495.582
2019-01-01 21:00,2019-01-01 22:00,495.052
2019-01-01 22:00,2019-01-01 23:00,494.461
2019-01-01 23:00,2019-01-02 00:00,493.766
2019-01-02 00:00,2019-01-02 01:00,494.384
2019-01-02 01:00,2019-01-02 02:00,495.559
2019-01-02 02:00,2019-01-02 03:00,495.474
2019-01-02 03:00,2019-01-02 04:00,494.994
2019-01-02 04:00,2019-01-02 05:00,494.852
2019-01-02 05:00,2019-01-02 06:00,494.048
2019-01-02 06:00,2019-01-02 07:00,492.835
2019-01-02 07:00,2019-01-02 08:00,490.952
2019-01-02 08:00,2019-01-02 09:00,488.896
2019-01-02 09:00,2019-01-02 10:00,488.094
2019-01-02 10:00,2019-01-02 11:00,488.311
2019-01-02 11:00,2019-01-02 12:00,486.865
2019-01-02 12:00,2019-01-02 13:00,485.366
2019-01-02 13:00,2019-01-02 14:00,480.921
2019-01-02 14:00,2019-01-02 15:00,475.886
2019-01-02 15:00,2019-01-02 16:00,468.898
2019-01-02 16:00,2019-01-02 17:00,452.812
2019-01-02 17:00,2019-01-02 18:00,431.752
2019-01-02 18:00,2019-01-02 19:00,413.438
2019-01-02 19:00,2019-01-02 20:00,391.905
2019-01-02 20:00,2019-01-02 21:00,370.538
