beta,hour,grad_E,grad_CVaR,same_sign,p_DA
0.0,1,1.5656308539943877,0.28712481603075046,True,500.0
0.0,2,-4.578892561983164,-0.744473432959653,True,0.0
0.0,3,-4.585615702479031,-0.6472334427713633,True,0.0
0.0,4,-8.016005509641348,-1.4189727442543612,True,0.0
0.0,5,-5.539636363635992,-1.3179483565416494,True,0.0
0.0,6,2.133411845729879,0.36505353032184995,True,500.0
0.0,7,-2.3066928374653934,-0.6293689007131937,True,0.0
0.0,8,-2.277106060605899,-0.1409370919657118,True,0.0
0.0,9,-2.2012575757574155,-0.29388536359857675,True,0.0
0.0,10,-6.422595041321845,-1.51877795388487,True,0.0
0.0,11,2.0680165289254684,0.33096932903124315,True,500.0
0.0,12,-2.008597796143109,-0.2848098230121408,True,0.0
0.0,13,1.9734311294764388,0.7571522227253299,True,500.0
0.0,14,5.918752066115253,1.2649627250083642,True,500.0
0.0,15,-6.057355371900362,-1.679446535718181,True,0.0
0.0,16,2.1623581267216117,0.3769220347937184,True,500.0
0.0,17,2.3574504132229706,0.48275432091770515,True,500.0
0.0,18,-2.4620426997243388,-0.34744326200982745,True,0.0
0.0,19,7.053979338842476,2.0876166081736423,True,500.0
0.0,20,-6.5111115702474756,-2.1929726027395056,True,0.0
0.0,21,-2.025909090908949,-0.33260675874556106,True,0.0
0.0,22,-5.559276859503746,-1.8165761632512767,True,0.0
0.0,23,-1.705490358126609,-0.5172637741046546,True,0.0
0.0,24,1.6264876033056759,0.18557734254121383,True,500.0
0.02,1,1.5656308539943877,0.28712481603075046,True,500.0
0.02,2,-4.578892561983164,-0.744473432959653,True,0.0
0.02,3,-4.585615702479031,-0.6472334427713633,True,0.0
0.02,4,-8.016005509641348,-1.4189727442543612,True,0.0
0.02,5,-5.539636363635992,-1.3179483565416494,True,0.0
0.02,6,2.133411845729879,0.36505353032184995,True,500.0
0.02,7,-2.3066928374653934,-0.6293689007131937,True,0.0
0.02,8,-2.277106060605899,-0.1409370919657118,True,0.0
0.02,9,-2.2012575757574155,-0.29388536359857675,True,0.0
0.02,10,-6.422595041321845,-1.51877795388487,True,0.0
0.02,11,2.0680165289254684,0.33096932903124315,True,500.0
0.02,12,-2.008597796143109,-0.2848098230121408,True,0.0
0.02,13,1.9734311294764388,0.7571522227253299,True,500.0
0.02,14,5.918752066115253,1.2649627250083642,True,500.0
0.02,15,-6.057355371900362,-1.679446535718181,True,0.0
0.02,16,2.1623581267216117,0.3769220347937184,True,500.0
0.02,17,2.3574504132229706,0.48275432091770515,True,500.0
0.02,18,-2.4620426997243388,-0.34744326200982745,True,0.0
0.02,19,7.053979338842476,2.0876166081736423,True,500.0
0.02,20,-6.5111115702474756,-2.1929726027395056,True,0.0
0.02,21,-2.025909090908949,-0.33260675874556106,True,0.0
0.02,22,-5.559276859503746,-1.8165761632512767,True,0.0
0.02,23,-1.705490358126609,-0.5172637741046546,True,0.0
0.02,24,1.6264876033056759,0.18557734254121383,True,500.0
0.25,1,1.5656308539943877,0.28712481603075046,True,500.0
0.25,2,-4.578892561983164,-0.744473432959653,True,0.0
0.25,3,-4.585615702479031,-0.6472334427713633,True,0.0
0.25,4,-8.016005509641348,-1.4189727442543612,True,0.0
0.25,5,-5.539636363635992,-1.3179483565416494,True,0.0
0.25,6,2.133411845729879,0.36505353032184995,True,500.0
0.25,7,-2.3066928374653934,-0.6293689007131937,True,0.0
0.25,8,-2.277106060605899,-0.1409370919657118,True,0.0
0.25,9,-2.2012575757574155,-0.29388536359857675,True,0.0
0.25,10,-6.422595041321845,-1.51877795388487,True,0.0
0.25,11,2.0680165289254684,0.33096932903124315,True,500.0
0.25,12,-2.008597796143109,-0.2848098230121408,True,0.0
0.25,13,1.9734311294764388,0.7571522227253299,True,500.0
0.25,14,5.918752066115253,1.2649627250083642,True,500.0
0.25,15,-6.057355371900362,-1.679446535718181,True,0.0
0.25,16,2.1623581267216117,0.3769220347937184,True,500.0
