Scenario,Time,Load
1,12:00,595
1,12:01,564
1,12:02,596
1,12:03,581
1,12:04,582
1,12:05,577
1,12:06,574
1,12:07,561
1,12:08,583
1,12:09,563
1,12:10,534
1,12:11,501
1,12:12,487
1,12:13,499
1,12:14,483
1,12:15,484
1,12:16,519
1,12:17,505
1,12:18,487
1,12:19,512
1,12:20,510
1,12:21,532
1,12:22,567
1,12:23,538
1,12:24,567
1,12:25,567
1,12:26,557
1,12:27,578
1,12:28,600
1,12:29,596
1,12:30,596
1,12:31,574
1,12:32,551
1,12:33,564
1,12:34,595
1,12:35,563
1,12:36,580
1,12:37,547
1,12:38,541
1,12:39,550
1,12:40,560
1,12:41,561
1,12:42,578
1,12:43,554
1,12:44,556
1,12:45,541
1,12:46,565
1,12:47,538
1,12:48,550
1,12:49,541
1,12:50,552
1,12:51,526
1,12:52,505
1,12:53,522
1,12:54,541
1,12:55,521
1,12:56,536
1,12:57,544
1,12:58,515
1,12:59,504
1,13:00,538
2,12:00,324
2,12:01,308
2,12:02,287
2,12:03,301
2,12:04,297
2,12:05,296
2,12:06,270
2,12:07,236
2,12:08,227
2,12:09,253
2,12:10,235
2,12:11,233
2,12:12,232
2,12:13,222
2,12:14,254
2,12:15,246
2,12:16,228
2,12:17,223
2,12:18,258
2,12:19,229
2,12:20,221
2,12:21,236
2,12:22,242
2,12:23,257
2,12:24,245
2,12:25,269
2,12:26,252
2,12:27,231
2,12:28,240
2,12:29,270
2,12:30,251
2,12:31,228
2,12:32,240
2,12:33,265
2,12:34,238
2,12:35,251
2,12:36,247
2,12:37,250
2,12:38,233
2,12:39,242
2,12:40,223
2,12:41,224
2,12:42,242
2,12:43,256
2,12:44,268
2,12:45,293
2,12:46,282
2,12:47,253
2,12:48,227
2,12:49,248
2,12:50,230
2,12:51,253
2,12:52,280
2,12:53,293
2,12:54,259
2,12:55,271
2,12:56,306
2,12:57,340
2,12:58,333
2,12:59,366
2,13:00,354
3,12:00,521
3,12:01,508
3,12:02,498
3,12:03,488
3,12:04,517
3,12:05,506
3,12:06,532
3,12:07,519
3,12:08,542
3,12:09,574
3,12:10,596
3,12:11,600
3,12:12,568
3,12:13,547
3,12:14,544
3,12:15,570
3,12:16,540
3,12:17,562
3,12:18,541
3,12:19,569
3,12:20,572
3,12:21,596
3,12:22,596
3,12:23,598
3,12:24,578
3,12:25,600
3,12:26,579
3,12:27,587
3,12:28,556
3,12:29,545
3,12:30,538
3,12:31,512
3,12:32,522
3,12:33,503
3,12:34,504
3,12:35,539
3,12:36,541
3,12:37,548
3,12:38,560
3,12:39,591
3,12:40,588
3,12:41,595
3,12:42,574
3,12:43,576
3,12:44,553
3,12:45,553
3,12:46,560
3,12:47,593
3,12:48,568
3,12:49,548
3,12:50,544
3,12:51,533
3,12:52,558
3,12:53,543
3,12:54,552
3,12:55,539
3,12:56,521
3,12:57,508
3,12:58,473
3,12:59,460
3,13:00,463
4,12:00,253
4,12:01,280
4,12:02,265
4,12:03,284
4,12:04,266
4,12:05,257
4,12:06,261
4,12:07,250
4,12:08,244
4,12:09,231
4,12:10,239
4,12:11,253
4,12:12,250
